Exp,Site,Hole,Core,Type,Section,"Sample Top, cm","Sample Bottom, cm",Combined id,Sample Label,"Sample Top Depth, mbsf","Sample Bot Depth, mbsf",Beaker Number,"Beaker Weight,         g","WET Weight (Sample + Beaker), g ",OVEN             Date/Time                    IN,"DRY Weight (Sample + Beaker), g",Scientist,Pycnometer Cell,"DRY Volume, cc",,"WEIGHT   WET Sample, g","WEIGHT     DRY Sample,  g","WEIGHT Pore Water, g","WEIGHT Salt,                g","WEIGHT Grains,               g ","VOLUME Pore Water, cc","VOLUME Salt,                           cc","VOLUME   Dry Sample, cc","VOLUME   Wet Sample, cc","VOLUME        Grains,          cc","Water Content,   (wet) v/v","Water Content (dry), v/v","Bulk Density, g/cc","Dry Density, g/cc","Grain Density, g/cc","Porosity,   v/v","Void Ratio, v/v",Lithology,
501,M0111,B,1,H,2,48,50,M0111-B-1-2,"501-M0111-B-1-2,48-50",63.98,64,205,9.6086,19.5805,17/01/2026 17:13,17.8237,MS,2,7.4395,,9.97,8.22,1.82,0.06,8.15,1.78,0.03,3.13,4.88,3.1,0.18,0.22,2.04,1.67,2.63,0.36,0.57,sand,
501,M0111,B,2,H,2,77,79,M0111-B-2-2,"501-M0111-B-2-2,77-79",65.91,65.93,207,9.772,18.2302,17/01/2026 17:13,16.9118,MS,3,7.0698,,8.46,7.14,1.37,0.05,7.09,1.33,0.02,2.69,4,2.67,0.16,0.19,2.11,1.77,2.66,0.33,0.5,sand,
501,M0111,B,3,H,2,38,40,M0111-B-3-2,"501-M0111-B-3-2,38-40",67.94,67.96,208,10.0436,21.2829,17/01/2026 17:13,19.1576,TS,2,7.9654,,11.24,9.11,2.2,0.08,9.04,2.15,0.03,3.46,5.58,3.43,0.2,0.24,2.02,1.62,2.64,0.39,0.63,sand,
501,M0111,B,4,H,1,100,102,M0111-B-4-1,"501-M0111-B-4-1,100-102",69.2,69.22,209,9.6794,20.4012,17/01/2026 20:00,18.6339,TS,3,7.7068,,10.72,8.95,1.83,0.06,8.89,1.79,0.03,3.37,5.13,3.34,0.17,0.21,2.09,1.73,2.66,0.35,0.54,sand,
501,M0111,B,5,H,2,52,54,M0111-B-5-2,"501-M0111-B-5-2,52-54",71.06,71.08,230,9.805,20.1659,17/01/2026 20:00,19.0773,TS,5,7.8788,,10.36,9.27,1.13,0.04,9.23,1.1,0.02,3.48,4.57,3.46,0.11,0.12,2.27,2.02,2.67,0.24,0.32,sand,
501,M0111,B,6,H,1,60,62,M0111-B-6-1,"501-M0111-B-6-1,60-62",72.14,72.16,231,9.8868,19.6347,17/01/2026 20:00,17.6806,TS,2,7.3865,,9.75,7.79,2.02,0.07,7.72,1.98,0.03,2.95,4.9,2.92,0.21,0.26,1.99,1.58,2.64,0.4,0.68,sand,
501,M0111,B,12,R,1,11,13,M0111-B-12-1,"501-M0111-B-12-1,11-13",76.8,76.82,232,9.8775,19.427,17/01/2026 20:00,17.1978,TS,3,7.1758,,9.55,7.32,2.31,0.08,7.24,2.26,0.04,2.75,4.97,2.71,0.24,0.32,1.92,1.46,2.67,0.45,0.83,sand,
501,M0111,B,9,R,1,100,102,M0111-B-9-1,"501-M0111-B-9-1,100-102",73.76,73.78,233,9.9605,21.9857,17/01/2026 21:22,19.6592,TS,5,8.1061,,12.03,9.7,2.41,0.08,9.61,2.35,0.04,3.64,5.96,3.6,0.2,0.25,2.02,1.61,2.67,0.4,0.65,sand,
501,M0111,B,13,R,1,18,20,M0111-B-13-1,"501-M0111-B-13-1,18-20",79.78,79.8,234,10.0063,21.0657,17/01/2026 21:22,18.7771,TS,3,7.7415,,11.06,8.77,2.37,0.08,8.69,2.32,0.04,3.25,5.53,3.22,0.21,0.27,2,1.57,2.7,0.42,0.72,clay,
501,M0111,B,14,R,1,20,22,M0111-B-14-1,"501-M0111-B-14-1,20-22",82.8,82.82,235,9.9943,21.2468,17/01/2026 21:22,18.8448,TS,5,7.7628,,11.25,8.85,2.49,0.09,8.76,2.43,0.04,3.28,5.67,3.24,0.22,0.28,1.98,1.54,2.7,0.43,0.75,clay,
