Expedition,Site,Hole,Core,Core type,Section,Sample Top Depth in Section [cm],Sample Bottom in Section [cm],Combined ID,Sampling type,Top Depth of Sample [m b.s.f.],Salinity [‰],NH4 [mM],pH [-],Alkalinity [mM],H2S  [mmol],Cl [mM],SO4 [mM],Br [mM],Al [µM],B [µM],Ba [µM],Ca [mM],Fe [µM],K [mM],Li [µM],Mg [mM],Mn [µM],Mo [µM],Na [mM],Ni [µM],P [µM],S [mM],Si [µM],Sr [µM],Comments,Combined ID,Sample Size,Top Depth of Sample [m b.s.f.],Lithology,Disturbance,Core image Evaluation (onshore) Reviewer 1 Thomas,Core image Evaluation (onshore) Reviewer 2 Rebecca,Core image Evaluation (onshore) Reviewer 3 Takeshi,Core image offshore Thomas,contamination Thomas and Rebecca,Medium confidence Rebecca,contamination Takeshi,Contamination all               (all 3 vote for contamination),Medium confidence     (min 1 and max 2 vote for contamination),Contamination,comment
501,M0111,B,70,R,2,12,18,501_M0111_B_070R_2_WR:12-18_1,IWSQ3,204.44,4.19,,7.76,4.22,,53.78422285,3.95090875,0.081065081,,,,,,,,,,,,,,,,,,501_M0111_B_070R_2_WR:12-18_1,19,204.44,silt,,"coherent, nothing below?",,compacted (not hard) silt,,,,,,,,"IC: DF 5, sampling ID A99"
501,M0111,B,72,R,1,85,90,501_M0111_B_072R_1_WR:85-90_1,IWRHx,208.18,20.78,,7.71,2.56,,,,,,,,,,,,,,,,,,,,,,501_M0111_B_072R_1_WR:85-90_1,5,208.18,loose sand,slight,"Not Full, bisquits, standing water",,"lamination of sand and silt, disturbed","no evaluation, reflection to strong",Y,,Y,Y,,YY,
501,M0111,B,73,R,1,125,130,501_M0111_B_073R_1_WR:125-130_1,IWRH1,211.08,29.84,,7.66,2.68,,461.240,23.291,0.670,0.000,381.684,0.932,10.077,9.722,8.376,16.138,42.575,4.896,0.396,378.295,0.051,0.743,22.898,59.701,88.416,,501_M0111_B_073R_1_WR:125-130_1,9,211.08,loose med sand,slight,Not Full,,"loose sand, disturbed",lot of water in the liner,Y,,Y,Y,,YY,
501,M0111,B,75,R,1,40,45,501_M0111_B_075R_1_WR:40-45_1,IWRHx,215.73,27.38,0.02,7.77,2.87,0.000,,,,,,,,,,,,,,,,,,,,,501_M0111_B_075R_1_WR:40-45_1,15,215.73,coarse sand,none,"Not full, standing water",,"loose sand, disturbed",quite some water in the liner,Y,,Y,Y,,YY,
501,M0111,B,78,R,1,45,50,501_M0111_B_078R_1_WR:45-50_1,IWRHx,220.38,29.15,,7.85,2.74,,455.214,23.039,0.669,,,,,,,,,,,,,,,,,For salinity average was calculated,501_M0111_B_078R_1_WR:45-50_1,7,220.38,coarse sand,none,"smeared material along side, distinct ridge-likely disturbance",,loose sand,lot of water in the liner,Y,,Y,Y,,YY,
501,M0111,B,84,R,1,94,100,501_M0111_B_084R_1_WR:94-100_1,IWSQ2,228.57,5.40,,7.81,2.81,,82.440,4.038,0.123,0.000,496.392,0.393,1.173,0.537,1.746,3.458,4.809,0.510,0.719,83.036,0.000,2.196,4.448,154.646,13.330,,501_M0111_B_084R_1_WR:94-100_1,20,228.57,mud,none,coherent mud above and below,,compacted (not hard) clay,,,,,,,,
501,M0111,B,86,R,1,145,150,501_M0111_B_086R_1_WR:145-150_1,IWSQ3,232.13,3.73,0.05,7.66,3.70,,70.40021721,3.767482772,0.108862328,1.186,433.488,0.430,0.954,0.591,1.582,1.585,3.996,0.801,0.302,71.205,0.000,0.000,3.812,151.798,10.477,,501_M0111_B_086R_1_WR:145-150_1,20,232.13,mud,none,"cracks above, but coherent clay",,compacted (not hard) clay,,,,,,,,"IC: DF 5, sampling ID A103"
501,M0111,B,88,R,1,116,122,501_M0111_B_088R_1_WR:116-122_1,IWSQ1,235.69,5.30,,7.71,3.17,,82.163,3.759,0.128,,,,,,,,,,,,,,,,,,501_M0111_B_088R_1_WR:116-122_1,17.8,235.69,silt,,coherent above and below,,compacted (not hard) silt,,,,,,,,
501,M0111,B,89,R,1,120,125,501_M0111_B_089R_1_WR:120-125_1,IWRH2,238.78,7.69,0.05,7.86,3.63,0.000,,,,,,,,,,,,,,,,,,,,,501_M0111_B_089R_1_WR:120-125_1,20,238.78,sand,slight,standing water irregular?,,"loose sand, disturbed",,,,Y,,Y,Y,
501,M0111,B,93,R,1,50,55,501_M0111_B_093R_1_WR:50-55_1,IWSQ3,245.78,3.22,,7.71,3.77,,52.81571509,3.312241584,0.081038798,0.852,467.160,0.546,0.518,0.000,1.405,1.441,2.208,0.309,0.000,59.417,0.000,0.000,3.334,158.918,6.266,,501_M0111_B_093R_1_WR:50-55_1,15,245.78,clay,slight,"coherent above and below, some drag on sides",,compacted (not hard) clay,,,,,,,,"IC: DF 5, sampling ID A105"
501,M0111,B,94,R,2,92,97,501_M0111_B_094R_2_WR:92-97_1,IWRH1,249.16,4.37,0.05,7.76,3.64,0.000,,,,,,,,,,,,,,,,,,,,,501_M0111_B_094R_2_WR:92-97_1,12,249.16,silt,,clay bounded by sharp contacts?,,silty sand,,,,Y?,,Y,Y,
501,M0111,B,95,R,1,65,70,501_M0111_B_095R_1_WR:65-70_1,IWRH2,250.43,4.78,,8.06,3.34,,,,,,,,,,,,,,,,,,,,,,501_M0111_B_095R_1_WR:65-70_1,1,250.43,silt,slight,"Not sure-streak looks superficial, thin planar  beds",,"silty sand, gap between core and liner",,,Y,Y?,,Y,Y,
501,M0111,B,96,R,1,65,70,501_M0111_B_096R_1_WR:65-70_1,IWRHx,252.18,24.08,,7.56,2.83,,,,,,,,,,,,,,,,,,,,,,501_M0111_B_096R_1_WR:65-70_1,16,252.18,fine sand,slight,"Not Full, Yikes",,"sand, disturbed",quite some water in the liner,Y,,Y,Y,,YY,
501,M0111,B,97,R,1,110,115,501_M0111_B_097R_1_WR:110-115_1,IWRH3,253.93,9.62,0.06,7.66,3.17,0.000,147.217,7.627,0.213,0.111,373.358,2.010,2.575,3.527,3.949,11.671,11.563,1.948,0.063,137.190,0.000,4.747,8.066,146.707,26.946,,501_M0111_B_097R_1_WR:110-115_1,26,253.93,sand,slight,"beds, dragged down, bisquits streak may be superficial, above water?",,"sand, disturbed","gaps, but no/ less water",Y,,Y,Y,,YY,
501,M0111,B,99,R,1,50,55,501_M0111_B_099R_1_WR:50-55_1,IWRHx,256.78,30.58,,7.89,3.07,,,,,,,,,,,,,,,,,,,,,,501_M0111_B_099R_1_WR:50-55_1,1,256.78,medium sand,slight,Not Full,,"sand, disturbed",water in the liner,Y,,Y,Y,,YY,
501,M0111,B,100,R,1,145,150,501_M0111_B_100R_1_WR:145-150_1,IWSQ1,260.38,7.03,0.06,7.60,3.64,0.000,,,,,,,,,,,,,,,,,,,,,501_M0111_B_100R_1_WR:145-150_1,22,260.38,clay,slight,"clear bedding, maybe cracks?",,"sandy silt, disturbed",,,,Y,,Y,Y,
501,M0111,B,101,R,1,142,148,501_M0111_B_101R_1_WR:142-148_1,IWSQ2,263.4,6.87,,7.48,3.18,,,,,,,,,,,,,,,,,,,,,,501_M0111_B_101R_1_WR:142-148_1,15,263.4,sand/silt,slight,"clear bedding, maybe cracks?",,"lamination of sand and silt, disturbed",,,,Y?,,Y,Y,
501,M0111,B,102,R,1,10,15,501_M0111_B_102R_1_WR:10-15_1,IWRH3,265.13,21.68,,,,,,,,,,,,,,,,,,,,,,,,,501_M0111_B_102R_1_WR:10-15_1,5,265.13,clay,slight,Possible conduit atBoundary at 10 cm?,, @10cm: boundary of sand and silt,quite some water in the liner,Y,,Y,Y,,YY,
501,M0111,B,103,R,2,145,150,501_M0111_B_103R_2_WR:145-150_1,IWSQ1,270.29,2.63,,7.97,4.08,,42.57756276,2.745422938,0.062708385,0.519,402.405,0.167,0.356,0.000,1.068,2.161,1.526,0.655,0.063,48.325,0.647,1.808,2.740,164.543,3.926,,501_M0111_B_103R_2_WR:145-150_1,15,270.29,mud,slight,coherent above and below,,compacted (not hard) silt,,,,,,,,"IC: DF 5, sampling ID A107"
501,M0111,B,104,R,2,144,150,501_M0111_B_104R_2_WR:144-150_1,IWSQ2,272.86,5.39,0.05,7.82,3.85,0.000,,,,,,,,,,,,,,,,,,,,,501_M0111_B_104R_2_WR:144-150_1,12,272.86,clay,slight,"coherent above, disturbed below",,silt,,,Y,,,Y,Y,
501,M0111,B,106,R,1,120,125,501_M0111_B_106R_1_WR:120-125_1,IWRH3,276.38,21.63,,7.60,3.11,,,,,,,,,,,,,,,,,,,,,,501_M0111_B_106R_1_WR:120-125_1,20,276.38,sand,,Not full,,"loose sand, disturbed",quite some water in the liner,Y,,Y,Y,,YY,
501,M0111,B,108,R,1,25,30,501_M0111_B_108R_1_WR:25-30_1,IWRHx,278.38,12.07,,7.78,3.27,,206.643,10.203,0.313,,,,,,,,,,,,,,,,,,501_M0111_B_108R_1_WR:25-30_1,20,278.38,sand,slight,Not full,,"loose sand, disturbed",lot of water in the liner,Y,,Y,Y,,YY,
501,M0111,B,114,R,1,95,101,501_M0111_B_114R_1_WR:95-101_1,IWSQ1,282.48,5.52,0.04,7.88,3.48,,88.052,4.243,0.135,0.000,398.520,0.670,1.223,0.215,1.957,7.493,5.492,2.239,0.406,87.951,0.426,0.000,4.691,140.797,14.700,,501_M0111_B_114R_1_WR:95-101_1,20,282.48,mud,,coherent above and below,,compacted (not hard) silt,,,,,,,,
501,M0111,B,115,R,1,143,150,501_M0111_B_115R_1_WR:143-150_1,IWSQ2,284.86,6.48,,7.88,3.39,,,,,,,,,,,,,,,,,,,,,,501_M0111_B_115R_1_WR:143-150_1,20,284.86,mud,none,disturbance? Along side above and below?,,compacted (not hard) silty sand,,,Y,Y?,,Y,Y,
501,M0111,B,116,R,2,58,63,501_M0111_B_116R_2_WR:58-63_1,IWSQ3,288.57,10.89,,7.63,2.77,0.000,,,,,,,,,,,,,,,,,,,,,501_M0111_B_116R_2_WR:58-63_1,20,288.57,coal,none,fractured above,,silt with granules,water in the liner,Y,,Y,Y,,YY,
501,M0111,B,119,R,1,39,44,501_M0111_B_119R_1_WR:39-44_1,IWRHx,293.22,31.48,0.00,7.72,2.63,,486.180,24.653,0.721,,,,,,,,,,,,,,,,,,501_M0111_B_119R_1_WR:39-44_1,4.9,293.22,sand,slight,fine sands along edges (disturbance),,loose sand,water in the liner,Y,,Y,Y,,YY,
501,M0111,B,121,R,1,94,100,501_M0111_B_121R_1_WR:94-100_1,IWSQ1,299.62,7.61,0.06,7.75,2.90,0.000,114.916,5.590,0.172,0.185,465.772,0.714,1.546,1.486,2.241,5.331,6.833,1.584,1.001,111.396,0.801,0.000,5.983,144.678,20.441,,501_M0111_B_121R_1_WR:94-100_1,20,299.62,mud rich,none,"laminae above, wood? Below",,lamination of sand and silt,,,,,,,,
501,M0111,B,122,R,1,85,91,501_M0111_B_122R_1_WR:85-91_1,IWSQ2,301.08,6.23,,7.81,3.50,,,,,,,,,,,,,,,,,,,,,,501_M0111_B_122R_1_WR:85-91_1,20,301.08,mud,,coherent above and below,,"compacted (not hard) clay, blocky",,,,,,,,
501,M0111,B,126,R,1,10,15,501_M0111_B_126R_1_WR:10-15_1,IWRH3,307.18,17.35,0.07,7.73,3.00,,267.588,13.781,0.394,0.000,381.314,1.485,5.207,2.489,4.824,7.061,22.707,4.405,0.021,224.010,0.068,0.000,13.868,108.686,57.784,,501_M0111_B_126R_1_WR:10-15_1,20,307.18,very coarse,slight,large cracks/conduits,,"lamination of very coarse and coarse sand, disturbed",water and gaps in the liner,Y,,Y,Y,,YY,
501,M0111,B,127,R,1,95,100,501_M0111_B_127R_1_WR:95-100_1,IWSQ1,311.08,8.67,0.07,7.71,3.67,0.000,130.663,6.383,0.195,,,,,,,,,,,,,,,,,,501_M0111_B_127R_1_WR:95-100_1,16,311.08,sand/silt,,"sand with flaky texture above and below, but contacts to mud near?",,lamination of sand and silt,,,,,,,,
501,M0111,B,128,R,1,144,151,501_M0111_B_128R_1_WR:144-151_1,IWSQ2,314.22,6.87,,7.70,3.76,0.000,105.350,4.517,0.159,1.446,444.033,0.386,1.227,0.215,2.010,4.035,5.413,1.402,0.000,106.525,0.682,1.518,5.000,157.779,16.412,,501_M0111_B_128R_1_WR:144-151_1,19.5,314.22,clay,,coherent above and below,,compacted (not hard) clay,,,,,,,,
501,M0111,B,129,R,1,145,150,501_M0111_B_129R_1_WR:145-150_1,IWSQ3,317.28,7.08,,7.65,3.41,,,,,,,,,,,,,,,,,,,,,,501_M0111_B_129R_1_WR:145-150_1,12,317.28,clay,,coherent above and below,,compacted (not hard) clay,,,,,,,,
501,M0111,B,130,R,1,130,135,501_M0111_B_130R_1_WR:130-135_1,IWRH1,320.18,14.54,,7.63,3.38,,231.601,11.239,0.341,0.111,405.458,2.032,3.792,12.587,7.570,45.533,17.026,5.461,0.000,200.739,0.954,2.906,11.360,269.099,40.265,,501_M0111_B_130R_1_WR:130-135_1,15,320.18,sand,,above: coarse,,loose sand,water in the liner,Y,,Y,Y,,YY,
501,M0111,B,133,R,1,125,130,501_M0111_B_133R_1_WR:125-130_1,IWRH2,327.38,27.45,,,,,,,,,,,,,,,,,,,,,,,,,501_M0111_B_133R_1_WR:125-130_1,20,327.38,fine sand,slight,Not full,,"loose sand, highly disturbed",lot of water in the liner,Y,,Y,Y,,YY,
501,M0111,B,134,R,1,50,55,501_M0111_B_134R_1_WR:50-55_1,IWRH3,329.48,30.44,,7.72,2.74,,463.273,23.591,0.676,2.780,350.509,0.677,9.394,4.691,7.903,19.020,41.711,10.211,0.334,388.691,1.005,12.335,22.764,55.785,71.605,,501_M0111_B_134R_1_WR:50-55_1,10,329.48,med sand,slight,"Not full, large gap",,"loose sand, highly disturbed",water in the liner,Y,,Y,Y,,YY,
501,M0111,B,135,R,1,50,55,501_M0111_B_135R_1_WR:50-55_1,IWRHx,331.33,28.72,,7.76,2.51,,442.982,22.459,0.658,,,,,,,,,,,,,,,,,,501_M0111_B_135R_1_WR:50-55_1,20,331.33,gravel to sand,slight,Not full,,"loose sand, highly disturbed",water in the liner,Y,,Y,Y,,YY,
501,M0111,B,139,R,1,26,31,501_M0111_B_139R_1_WR:26-31_1,IWRHx,336.59,31.30,0.00,7.63,3.18,,,,,1.149,349.954,0.597,9.396,0.895,8.256,23.775,43.562,5.515,1.428,386.037,1.687,9.493,23.634,46.956,73.157,,501_M0111_B_139R_1_WR:26-31_1,20,336.59,sand,slight,Not Full,,"loose sand, highly disturbed",lot of water in the liner,Y,,Y,Y,,YY,
501,M0111,B,144,R,1,20,25,501_M0111_B_144R_1_WR:20-25_1,IWRHx,344.63,31.08,0.01,7.73,2.73,0.000,,,,,,,,,,,,,,,,,,,,,501_M0111_B_144R_1_WR:20-25_1,20,344.63,sand,,Not Full,,"loose sand, disturbed",lot of water in the liner,Y,,Y,Y,,YY,
501,M0111,B,147,R,1,20,25,501_M0111_B_147R_1_WR:20-25_1,IWRHx,346.33,31.03,,7.50,2.71,,485.604,24.528,0.721,0.445,388.344,1.289,9.918,0.842,8.036,19.741,44.262,5.970,3.460,385.124,1.363,1.550,24.036,90.352,88.222,,501_M0111_B_147R_1_WR:20-25_1,20,346.33,sand,moderate,Very disturbed just above,,"loose sand, disturbed",water in the liner,Y,,Y,Y,,YY,
501,M0111,B,149,R,1,106,112,501_M0111_B_149R_1_WR:106-112_1,IWSQ1,349.09,23.73,,7.48,2.71,,,,,,,,,,,,,,,,,,,,,,501_M0111_B_149R_1_WR:106-112_1,20,349.09,silt,,"Platy, not full",,lamination of sand and silt,lot of water in the liner,Y,,Y,Y,,YY,
501,M0111,B,151,R,1,35,40,501_M0111_B_151R_1_WR:35-40_1,IWRH2,350.38,32.14,,7.77,2.54,,,,,,,,,,,,,,,,,,,,,,501_M0111_B_151R_1_WR:35-40_1,20,350.38,coarse sand pebbles,,Not full,,"very coarse sand, disturbed",lot of water in the liner,Y,,Y,Y,,YY,
501,M0111,B,152,R,1,13,18,501_M0111_B_152R_1_WR:13-18_1,IWRH3,351.41,27.75,,7.82,3.30,,423.233,21.835,0.620,1.371,351.619,0.430,8.498,1.218,6.885,15.850,37.976,6.680,0.500,343.845,1.431,5.134,21.519,69.527,71.559,,501_M0111_B_152R_1_WR:13-18_1,20,351.41,coarse sand pebbles,slight,"Loose, not full",,"loose sand, highly disturbed",lot of water in the liner,Y,,Y,Y,,YY,
501,M0111,B,158,R,1,57,62,501_M0111_B_158R_1_WR:57-62_1,IWSQ1,362.3,15.54,,7.36,3.95,,256.122,12.760,0.386,0.667,414.616,0.655,4.376,0.501,4.151,18.732,19.161,3.513,0.042,225.359,1.193,3.423,13.060,169.135,49.669,,501_M0111_B_158R_1_WR:57-62_1,15,362.3,mud,moderate,coherent above,,compacted (not hard) clay,lot of water in the liner,Y,,Y,Y,,YY,
501,M0111,B,160,R,1,15,20,501_M0111_B_160R_1_WR:15-20_1,IWRHx,366.23,18.40,,7.55,3.64,,,,,,,,,,,,,,,,,,,,,,501_M0111_B_160R_1_WR:15-20_1,20,366.23,coarse sand,,"mostly full, water",,"loose sand, disturbed",lot of water in the liner,Y,,Y,Y,,YY,
501,M0111,B,161,R,1,75,80,501_M0111_B_161R_1_WR:75-80_1,IWRHx,369.58,17.32,0.08,7.34,3.81,0.000,284.428,15.691,0.416,0.000,365.587,0.677,5.599,20.645,4.882,11.095,24.369,4.423,0.000,249.761,0.358,1.970,16.298,122.143,62.531,,501_M0111_B_161R_1_WR:75-80_1,20,369.58,med sand,slight,"sunken in, water",,"loose sand, highly disturbed",water in the liner,Y,,Y,Y,,YY,
501,M0111,B,165,R,1,115,120,501_M0111_B_165R_1_W:115-120_1,IWRH2,379.13,28.45,,7.82,3.20,,,,,,,,,,,,,,,,,,,,,,501_M0111_B_165R_1_W:115-120_1,20,379.13,coarse sand,,Not Full,,"loose sand, highly disturbed",water in the liner,Y,,Y,Y,,YY,
501,M0111,B,166,R,1,85,90,501_M0111_B_166R_1_WR:85-90_1,IWSQ3,381.88,21.59,,7.30,3.88,,357.919,18.147,0.534,0.000,482.979,1.668,7.106,117.081,5.895,26.225,30.222,10.648,0.177,303.436,0.187,0.775,18.132,187.255,82.630,,501_M0111_B_166R_1_WR:85-90_1,20,381.88,clay,slight,coherent above,,compacted (not hard) clay,water in the liner,Y,,Y,Y,,YY,
501,M0111,C,2,H,1,21,26,501_M0111_C_002H_1_WR:21-26_1,IWSQ3,47.88,32.62,,7.90,3.81,,,,,,,,,,,,,,,,,,,,,,501_M0111_C_002H_1_WR:21-26_1,20,47.88,fine sand,slight,coherent above,,compacted (not hard) silty sand,,,,,,,,
501,M0111,C,2,H,1,26,31,501_M0111_C_002H_1_WR:26-31_1,IWSQ2,47.93,32.40,0.16,7.74,4.47,0.000,513.312,26.328,0.766,0.630,351.989,0.539,10.387,1.271,9.895,18.876,47.635,7.809,0.803,431.622,0.170,4.973,26.578,503.738,82.458,,501_M0111_C_002H_1_WR:26-31_1,20,47.93,fine sand,slight,coherent above,,compacted (not hard) silty sand,,,,,,,,
501,M0111,C,2,H,1,51,57,501_M0111_C_002H_1_WR:51-57_1,IWSQ1,48.18,32.24,0.16,7.83,3.63,,513.362,26.184,0.764,0.000,327.197,0.466,10.282,0.251,9.657,18.300,47.018,7.044,0.844,425.489,0.000,5.166,25.939,526.522,80.107,,501_M0111_C_002H_1_WR:51-57_1,20,48.18,fine sand,slight,coherent above,,compacted (not hard) silty sand,,,,,,,,
501,M0111,C,6,H,1,36,41,501_M0111_C_006H_1_WR:36-41_1,IWSQ3,111.72,14.23,,7.94,3.03,,,,,,,,,,,,,,,,,,,,,,501_M0111_C_006H_1_WR:36-41_1,20,111.72,clay,moderate,coherent above,,compacted (not hard) silty clay,,,,,,,,
501,M0111,C,6,H,1,41,46,501_M0111_C_006H_1_WR:41-46_1,IWSQ2,111.77,13.41,0.20,7.99,4.31,0.000,204.727,14.227,0.302,,,,,,,,,,,,,,,,,,501_M0111_C_006H_1_WR:41-46_1,20,111.77,clay,moderate,coherent above,,compacted (not hard) silty clay,,,,,,,,
501,M0111,C,6,H,1,66,73,501_M0111_C_006H_1_WR:66-73_1,IWSQ1,112.02,13.47,,8.01,4.24,,208.044,14.355,0.313,0.222,389.732,0.299,3.473,0.107,3.292,9.654,13.965,0.491,0.386,198.869,0.511,0.904,14.470,189.925,29.993,For alkalinity average was calculated,501_M0111_C_006H_1_WR:66-73_1,20,112.02,clay,moderate,coherent above,,compacted (not hard) silty clay,,,,,,,,
501,M0111,C,8,R,1,65,70,501_M0111_C_008R_1_WR:65-70_1,IWSQ3,125.65,9.74,,8.17,5.72,,,,,,,,,,,,,,,,,,,,,For alkalinity average was calculated,501_M0111_C_008R_1_WR:65-70_1,20,125.65,mud,,coherent above,,compacted (not hard) silty sand,,,,,,,,
501,M0111,C,8,R,1,70,75,501_M0111_C_008R_1_WR:70-75_1,IWSQ2,125.7,9.57,0.16,8.12,5.52,0.000,,,,,,,,,,,,,,,,,,,,,501_M0111_C_008R_1_WR:70-75_1,20,125.7,mud,,coherent above,,compacted (not hard) silty sand,,,,,,,,
501,M0111,C,8,R,1,95,101,501_M0111_C_008R_1_WR:95-101_1,IWSQ1,125.95,9.08,,8.15,5.88,,132.490,9.636,0.192,0.000,402.683,0.204,1.782,0.107,2.157,8.646,7.088,0.182,0.177,138.973,0.579,2.874,9.878,191.242,15.430,,501_M0111_C_008R_1_WR:95-101_1,20,125.95,mud,,coherent above,,compacted (not hard) silty sand,,,,,,,,
501,M0111,C,9,R,1,115,120,501_M0111_C_009R_1_WR:115-120_1,IWSQ3,127.51,11.15,,8.07,5.25,,,,,,,,,,,,,,,,,,,,,For alkalinity average was calculated,501_M0111_C_009R_1_WR:115-120_1,20,127.51,mud,,coherent above,,compacted (not hard) silt,,,,,,,,
501,M0111,C,9,R,1,120,125,501_M0111_C_009R_1_WR:120-125_1,IWSQ2,127.56,11.86,0.17,8.09,5.13,0.000,,,,0.334,424.884,0.306,2.882,0.734,3.115,8.646,11.275,0.182,0.240,178.164,0.307,0.000,10.599,191.171,25.108,For alkalinity average was calculated,501_M0111_C_009R_1_WR:120-125_1,20,127.56,mud,,coherent above,,compacted (not hard) silt,,,,,,,,
501,M0111,C,9,R,1,145,151,501_M0111_C_009R_1_WR:145-151_1,IWSQ1,127.81,10.88,0.19,8.09,5.39,,164.051,10.137,0.244,0.704,411.933,0.255,2.471,0.609,2.885,6.772,9.712,0.164,0.344,157.851,0.545,1.421,10.340,154.859,21.685,For alkalinity average was calculated,501_M0111_C_009R_1_WR:145-151_1,20,127.81,mud,,coherent above,,compacted (not hard) silt,,,,,,,,
501,M0111,C,10,R,1,124,130,501_M0111_C_010R_1_WR:124-130_1,IWSQ1,151.24,6.60,,8.36,5.44,,106.254,3.518,0.164,0.185,456.892,0.117,1.245,0.179,2.394,9.942,4.784,0.218,0.573,106.742,0.494,4.811,3.980,116.056,10.477,For alkalinity average was calculated,501_M0111_C_010R_1_WR:124-130_1,20,151.24,clay,,coherent above,,compacted (not hard) silt,,,,,,,,
501,M0111,C,11,R,1,144,150,501_M0111_C_011R_1_WR:144-150_1,IWSQ2,154.44,6.70,0.10,8.17,5.20,0.000,109.099,4.051,0.164,,,,,,,,,,,,,,,,,For alkalinity average was calculated,501_M0111_C_011R_1_WR:144-150_1,20,154.44,fine sand,,coherent above,,compacted (not hard) lamination of silt and sand,,,,,,,,
501,M0111,C,12,R,1,123,128,501_M0111_C_012R_1_WR:123-128_1,IWSQ3,157.23,6.49,,8.63,4.92,,103.4180536,4.141132138,0.154580726,0.222,307.586,0.634,1.220,0.125,3.054,5.476,4.648,0.127,0.271,104.263,0.920,0.775,4.623,65.575,10.055,For alkalinity average was calculated,501_M0111_C_012R_1_WR:123-128_1,14.5,157.23,coarse sand,,cracks?,,compacted (not hard) sabd with granules,,,y,Y?,,Y,Y,
501,M0111,C,14,R,1,65,70,501_M0111_C_014R_1_WR:65-70_1,IWRH1,161.81,31.92,,8.21,3.28,,,,,,,,,,,,,,,,,,,,,For alkalinity average was calculated,501_M0111_C_014R_1_WR:65-70_1,20,161.81,very coarse,slight,Not Full,,"sand, highly disturbed",lot of water in the liner,Y,,Y,Y,,YY,"IC: DF 5, sampling ID A136"
501,M0111,C,14,R,1,92,98,501_M0111_C_014R_1_WR:92-98_1,IWC1,162.08,24.09,,,,,,,,,,,,,,,,,,,,,,,,,501_M0111_C_014R_1_WR:92-98_1,,162.08,very coarse,slight,Not Full,,"sand, disturbed",lot of water in the liner,Y,,Y,Y,,YY,
501,M0111,C,18,R,1,144,150,501_M0111_C_018R_1_WR:144-150_1,IWSQ2,169.8,18.72,0.18,8.06,4.36,0.000,270.915,13.680,0.404,2.261,390.009,2.425,5.180,0.340,6.246,24.784,24.048,0.946,0.167,218.008,0.733,3.584,13.665,68.601,46.667,For salinity and alkalinity average was calculated,501_M0111_C_018R_1_WR:144-150_1,20,169.8,medium sand,,section above looks like coherent medium to coarse sand,,lamination of sands,water in the liner,Y,,Y,Y,,YY,
501,M0111,C,22,R,1,38,43,501_M0111_C_022R_1_WR:38-43_1,IWSQ3,185.38,8.11,,8.09,6.76,,,,,,,,,,,,,,,,,,,,,For alkalinity average was calculated,501_M0111_C_022R_1_WR:38-43_1,20,185.38,silt,,"above: silt, fine sand, black, dense, no water",,thin laminations of silt and sand,,,,,,,,
501,M0111,C,22,R,1,48,54,501_M0111_C_022R_1_WR:48-54_1,IWSQ2,185.48,5.22,0.05,,,0.000,,,,,,,,,,,,,,,,,,,,,501_M0111_C_022R_1_WR:48-54_1,20,185.48,silt,,"above: silt, fine sand, black, dense, no water",,thin laminations of silt and sand,,,,,,,,
501,M0111,C,22,R,1,74,79,501_M0111_C_022R_1_WR:74-79_1,IWSQ1,185.74,6.56,0.08,8.15,8.16,0.000,95.64768688,9.880886058,0.139147685,0.000,555.689,0.189,1.363,0.483,2.244,9.654,5.356,0.510,0.042,111.440,0.068,0.000,11.216,123.282,13.034,"For salinity, cations, and alkalinity average was calculated",501_M0111_C_022R_1_WR:74-79_1,20,185.74,silt,,"above: silt, fine sand, black, dense, no water",,thin laminations of silt and sand,,,,,,,,"IC: DF 5, sampling ID A140"
501,M0111,C,23,R,1,10,15,501_M0111_C_023R_1_WR:10-15_1,IWRHx,186.46,16.35,,7.83,4.85,,247.689,15.741,0.365,2.113,470.860,0.146,4.965,3.724,4.223,8.357,19.626,1.802,0.052,210.657,0.000,0.452,15.287,105.020,46.405,,501_M0111_C_023R_1_WR:10-15_1,20,186.46,silt,,fractured ,,"laminations of silt and sand, fractured","looks like water in the liner, but quite some reflection",Y,,Y,Y,,YY,
501,M0111,C,27,R,1,113,118,501_M0111_C_027R_1_WR:113-118_1,IWSQ3,199.49,8.21,,8.63,5.84,,,,,,,,,,,,,,,,,,,,,,501_M0111_C_027R_1_WR:113-118_1,20,199.49,fine sand,,looks muddy and bit disturbed,,compacted (not hard) sand,,,y,,,y,Y,
501,M0111,C,27,R,1,118,123,501_M0111_C_027R_1_WR:118-123_1,IWSQ2,199.54,5.96,0.12,8.59,5.91,0.000,66.89055571,7.386157433,0.097782228,0.185,327.752,0.124,1.079,0.000,2.523,7.061,3.782,0.218,0.073,89.256,0.000,0.000,7.963,90.352,10.454,,501_M0111_C_027R_1_WR:118-123_1,20,199.54,fine sand,,looks muddy and bit disturbed,,compacted (not hard) sand,,,y,,,y,Y,"IC: DF 5, sampling ID A143"
501,M0111,C,27,R,1,143,150,501_M0111_C_027R_1_WR:143-150_1,IWSQ1,199.79,9.42,,8.85,4.50,,133.579,8.580,0.195,,,,,,,,,,,,,,,,,,501_M0111_C_027R_1_WR:143-150_1,20,199.79,fine sand,,looks muddy and bit disturbed,,compacted (not hard) sand,,,Y,,,Y,Y,
